STN,YYYYMMDD,    Q 
  260,20000531, 2542
  260,20000601, 1105
  260,20000602, 2517
  260,20000603, 1974
  260,20000604, 2002
  260,20000605,  669
  260,20000606, 1153
  260,20000607, 1776
  260,20000608, 2961
  260,20000609, 2697
  260,20000610, 2184
  260,20000611, 1864
  260,20000612, 1676
  260,20000613, 1222
  260,20000614, 1266
  260,20000615, 2039
  260,20000616, 2677
  260,20000617, 2954
  260,20000618, 2854
  260,20000619, 2864
  260,20000620, 2764
  260,20000621, 1629
  260,20000622, 1196
  260,20000623, 1060
  260,20000624, 1365
  260,20000625, 1127
  260,20000626, 1604
  260,20000627, 2193
  260,20000628, 1860
  260,20000629, 2517
  260,20000630, 2590
  260,20000701,  676
  260,20000702, 1881
  260,20000703, 2034
  260,20000704, 1707
  260,20000705,  625
  260,20000706, 1558
  260,20000707, 1487
  260,20000708,  814
  260,20000709,  377
  260,20000710, 1434
  260,20000711,  919
  260,20000712, 2571
  260,20000713,  594
  260,20000714, 1311
  260,20000715, 1237
  260,20000716, 1395
  260,20000717,  798
  260,20000718, 1481
  260,20000719, 1780
  260,20000720, 2368
  260,20000721, 1182
  260,20000722,  985
  260,20000723, 2096
  260,20000724, 1784
  260,20000725, 1230
  260,20000726,  452
  260,20000727, 1484
  260,20000728, 1609
  260,20000729,  742
  260,20000730, 1718
  260,20000731, 2354
  260,20000801, 1983
  260,20000802, 2195
  260,20000803, 1798
  260,20000804, 1584
  260,20000805, 1943
  260,20000806, 1474
  260,20000807, 1476
  260,20000808, 1539
  260,20000809, 2060
  260,20000810,  777
  260,20000811, 1781
  260,20000812, 2250
  260,20000813, 1861
  260,20000814, 1419
  260,20000815,  965
  260,20000816, 1833
  260,20000817, 1814
  260,20000818, 1682
  260,20000819, 1215
  260,20000820, 1529
  260,20000821, 1618
  260,20000822, 1503
  260,20000823, 2096
  260,20000824, 2194
  260,20000825,  931
  260,20000826, 1888
  260,20000827,  462
  260,20000828,  972
  260,20000829, 1290
  260,20000830, 1765
  260,20000831, 1631
  260,20000901, 1011
  260,20000902,  772
  260,20000903, 1251
  260,20000904,  767
  260,20000905, 1186
  260,20000906,  493
  260,20000907,  992
  260,20000908,  215
  260,20000909,  313
  260,20000910,  862
  260,20000911, 1679
  260,20000912,  562
  260,20000913, 1250
  260,20000914, 1070
  260,20000915,  976
  260,20000916,  898
  260,20000917,  328
  260,20000918, 1134
  260,20000919, 1453
  260,20000920,  259
  260,20000921, 1051
  260,20000922, 1152
  260,20000923, 1441
  260,20000924, 1400
  260,20000925, 1128
  260,20000926,  866
  260,20000927, 1023
  260,20000928,  313
  260,20000929,  556
  260,20000930,  803
  260,20001001,  213
  260,20001002,  769
  260,20001003,  687
  260,20001004,  213
  260,20001005,  615
  260,20001006,  802
  260,20001007, 1142
  260,20001008,  162
  260,20001009,  948
  260,20001010,  545
  260,20001011,  583
  260,20001012,  916
  260,20001013,  932
  260,20001014,  329
  260,20001015,  304
  260,20001016,  180
  260,20001017,  863
  260,20001018,  314
  260,20001019,  639
  260,20001020,  709
  260,20001021,  525
  260,20001022,  663
  260,20001023,  585
  260,20001024,  268
  260,20001025,  153
  260,20001026,  719
  260,20001027,   90
  260,20001028,  105
  260,20001029,  528
  260,20001030,   62
  260,20001031,  211
  260,20001101,  179
  260,20001102,  271
  260,20001103,  615
  260,20001104,  559
  260,20001105,  593
  260,20001106,  279
  260,20001107,  125
  260,20001108,  105
  260,20001109,  110
  260,20001110,  188
  260,20001111,  253
  260,20001112,   56
  260,20001113,  261
  260,20001114,  315
  260,20001115,   98
  260,20001116,  167
  260,20001117,  386
  260,20001118,  353
  260,20001119,  152
  260,20001120,  136
  260,20001121,  144
  260,20001122,  287
  260,20001123,   90
  260,20001124,  247
  260,20001125,  221
  260,20001126,  194
  260,20001127,  359
  260,20001128,  108
  260,20001129,  278
  260,20001130,  384
  260,20001201,  164
  260,20001202,  187
  260,20001203,  275
  260,20001204,  173
  260,20001205,  280
  260,20001206,  148
  260,20001207,  194
  260,20001208,  174
  260,20001209,  222
  260,20001210,   68
  260,20001211,  161
  260,20001212,   38
  260,20001213,  101
  260,20001214,  182
  260,20001215,  142
  260,20001216,  107
  260,20001217,  335
  260,20001218,   81
  260,20001219,  336
  260,20001220,  299
  260,20001221,  399
  260,20001222,  393
  260,20001223,  356
  260,20001224,   81
  260,20001225,  285
  260,20001226,  193
  260,20001227,   82
  260,20001228,  174
  260,20001229,  283
  260,20001230,  167
  260,20001231,  303
  260,20010101,   47
  260,20010102,  229
  260,20010103,  316
  260,20010104,   41
  260,20010105,   16
  260,20010106,  165
  260,20010107,   85
  260,20010108,  122
  260,20010109,  245
  260,20010110,  198
  260,20010111,  447
  260,20010112,  200
  260,20010113,  500
  260,20010114,   89
  260,20010115,  507
  260,20010116,  515
  260,20010117,  567
  260,20010118,   60
  260,20010119,  160
  260,20010120,  102
  260,20010121,  383
  260,20010122,  119
  260,20010123,  246
  260,20010124,  310
  260,20010125,  153
  260,20010126,  124
  260,20010127,  149
  260,20010128,  381
  260,20010129,  493
  260,20010130,  271
  260,20010131,  258
  260,20010201,  280
  260,20010202,   93
  260,20010203,  153
  260,20010204,   95
  260,20010205,  150
  260,20010206,  168
  260,20010207,  425
  260,20010208,  296
  260,20010209,  643
  260,20010210,  740
  260,20010211,  148
  260,20010212,  213
  260,20010213,  746
  260,20010214,  456
  260,20010215,  904
  260,20010216,  169
  260,20010217,  194
  260,20010218,  506
  260,20010219,  346
  260,20010220,  504
  260,20010221,  360
  260,20010222,  640
  260,20010223,  925
  260,20010224, 1363
  260,20010225,  766
  260,20010226,  994
  260,20010227,  748
  260,20010228,  515
  260,20010301,  179
  260,20010302,  758
  260,20010303,  631
  260,20010304,  403
  260,20010305,  524
  260,20010306, 1312
  260,20010307,  579
  260,20010308,  224
  260,20010309,  233
  260,20010310,  207
  260,20010311,  306
  260,20010312, 1156
  260,20010313,  468
  260,20010314,  790
  260,20010315,  835
  260,20010316,  544
  260,20010317,  128
  260,20010318,  242
  260,20010319,  936
  260,20010320, 1158
  260,20010321,  232
  260,20010322,  366
  260,20010323,  129
  260,20010324, 1246
  260,20010325,  261
  260,20010326,  832
  260,20010327,  631
  260,20010328,  613
  260,20010329,  366
  260,20010330,  687
  260,20010331,  718
  260,20010401,  748
  260,20010402, 1884
  260,20010403, 1326
  260,20010404,  640
  260,20010405, 1124
  260,20010406,  977
  260,20010407, 1283
  260,20010408,  861
  260,20010409,  454
  260,20010410, 1201
  260,20010411, 1409
  260,20010412, 1419
  260,20010413, 1365
  260,20010414,  959
  260,20010415,  722
  260,20010416, 1066
  260,20010417,  873
  260,20010418, 1532
  260,20010419, 1476
  260,20010420,  963
  260,20010421, 1708
  260,20010422, 2053
  260,20010423, 1091
  260,20010424, 1383
  260,20010425, 1006
  260,20010426, 1372
  260,20010427, 1153
  260,20010428, 1326
  260,20010429, 1780
  260,20010430, 1451
  260,20010501, 1360
  260,20010502, 2188
  260,20010503,  967
  260,20010504,  629
  260,20010505, 2123
  260,20010506, 1680
  260,20010507, 2607
  260,20010508, 2022
  260,20010509, 2218
  260,20010510, 2661
  260,20010511, 2702
  260,20010512, 2661
  260,20010513, 2642
  260,20010514, 1264
  260,20010515, 1714
  260,20010516, 1171
  260,20010517, 1512
  260,20010518, 1022
  260,20010519, 2263
  260,20010520, 2085
  260,20010521, 2634
  260,20010522, 2885
  260,20010523, 2910
  260,20010524, 2879
  260,20010525, 2996
  260,20010526, 2273
  260,20010527,  993
  260,20010528, 1120
  260,20010529, 2894
  260,20010530, 1561
  260,20010531, 2255
  260,20010601, 1433
  260,20010602,  818
  260,20010603, 1283
  260,20010604, 1159
  260,20010605, 2263
  260,20010606, 1927
  260,20010607, 2205
  260,20010608, 2452
  260,20010609, 1950
  260,20010610, 1501
  260,20010611, 2285
  260,20010612, 1337
  260,20010613, 2414
  260,20010614, 2580
  260,20010615, 1674
  260,20010616, 1433
  260,20010617,  989
  260,20010618,  828
  260,20010619, 2592
  260,20010620, 2444
  260,20010621, 2092
  260,20010622, 1515
  260,20010623, 2055
  260,20010624, 2012
  260,20010625, 3016
  260,20010626, 2847
  260,20010627, 1307
  260,20010628, 2292
  260,20010629, 2006
  260,20010630, 1781
  260,20010701, 2649
  260,20010702, 1329
  260,20010703, 2899
  260,20010704, 3031
  260,20010705, 2871
  260,20010706, 1997
  260,20010707, 1190
  260,20010708,  254
  260,20010709, 1445
  260,20010710, 1365
  260,20010711, 1771
  260,20010712, 1528
  260,20010713, 1456
  260,20010714,  744
  260,20010715, 1448
  260,20010716, 1999
  260,20010717, 2076
  260,20010718, 1266
  260,20010719, 1304
  260,20010720, 1210
  260,20010721,  738
  260,20010722, 2226
  260,20010723, 1788
  260,20010724, 2273
  260,20010725, 2386
  260,20010726, 2468
  260,20010727, 1538
  260,20010728, 2366
  260,20010729, 2314
  260,20010730, 2345
  260,20010731, 1918
  260,20010801, 2023
  260,20010802, 1812
  260,20010803, 1271
  260,20010804, 1676
  260,20010805, 1650
  260,20010806, 1239
  260,20010807, 1074
  260,20010808, 1084
  260,20010809, 1176
  260,20010810, 1318
  260,20010811, 1869
  260,20010812,  539
  260,20010813,  419
  260,20010814, 2309
  260,20010815, 2098
  260,20010816, 1440
  260,20010817, 2063
  260,20010818, 1636
  260,20010819, 1458
  260,20010820, 1429
  260,20010821, 1832
  260,20010822, 1768
  260,20010823, 1534
  260,20010824, 1890
  260,20010825, 1965
  260,20010826, 1334
  260,20010827, 2026
  260,20010828, 1783
  260,20010829, 1870
  260,20010830, 1004
  260,20010831,  884
  260,20010901, 1326
  260,20010902,  330
  260,20010903,  503
  260,20010904,  970
  260,20010905, 1415
  260,20010906, 1020
  260,20010907,  704
  260,20010908, 1378
  260,20010909,  784
  260,20010910, 1100
  260,20010911, 1076
  260,20010912,  629
  260,20010913,  980
  260,20010914, 1017
  260,20010915,  940
  260,20010916, 1053
  260,20010917,  809
  260,20010918,  746
  260,20010919,  116
  260,20010920,  510
  260,20010921, 1120
  260,20010922, 1251
  260,20010923,  941
  260,20010924,  571
  260,20010925,  942
  260,20010926,  945
  260,20010927,  710
  260,20010928, 1333
  260,20010929,  873
  260,20010930,  917
  260,20011001,  347
  260,20011002,  174
  260,20011003,  982
  260,20011004,  836
  260,20011005, 1033
  260,20011006,  713
  260,20011007,  793
  260,20011008,  753
  260,20011009,  581
  260,20011010,  934
  260,20011011,  251
  260,20011012, 1006
  260,20011013,  857
  260,20011014,  593
  260,20011015,  745
  260,20011016,  941
  260,20011017,  809
  260,20011018,  650
  260,20011019,  417
  260,20011020,  651
  260,20011021,  362
  260,20011022,  252
  260,20011023,  121
  260,20011024,  378
  260,20011025,  604
  260,20011026,  614
  260,20011027,  540
  260,20011028,  516
  260,20011029,  338
  260,20011030,  678
  260,20011031,  411
  260,20011101,  562
  260,20011102,  640
  260,20011103,  289
  260,20011104,  139
  260,20011105,  443
  260,20011106,  228
  260,20011107,  238
  260,20011108,  239
  260,20011109,  536
  260,20011110,  432
  260,20011111,  124
  260,20011112,  136
  260,20011113,  347
  260,20011114,  553
  260,20011115,  621
  260,20011116,  194
  260,20011117,  183
  260,20011118,  238
  260,20011119,  151
  260,20011120,  102
  260,20011121,  199
  260,20011122,  125
  260,20011123,  383
  260,20011124,   55
  260,20011125,  131
  260,20011126,  248
  260,20011127,  401
  260,20011128,  431
  260,20011129,   26
  260,20011130,   52
  260,20011201,   50
  260,20011202,  128
  260,20011203,  128
  260,20011204,   75
  260,20011205,  172
  260,20011206,  347
  260,20011207,  381
  260,20011208,  347
  260,20011209,  313
  260,20011210,  352
  260,20011211,  121
  260,20011212,   73
  260,20011213,  135
  260,20011214,  324
  260,20011215,   83
  260,20011216,  382
  260,20011217,  254
  260,20011218,   72
  260,20011219,   63
  260,20011220,  296
  260,20011221,   21
  260,20011222,  197
  260,20011223,  481
  260,20011224,   23
  260,20011225,  218
  260,20011226,  108
  260,20011227,   38
  260,20011228,  156
  260,20011229,  115
  260,20011230,  131
  260,20011231,  382
  260,20020101,  250
  260,20020102,  132
  260,20020103,  518
  260,20020104,  457
  260,20020105,  346
  260,20020106,   54
  260,20020107,  142
  260,20020108,  101
  260,20020109,  478
  260,20020110,  290
  260,20020111,   68
  260,20020112,   32
  260,20020113,  442
  260,20020114,   90
  260,20020115,   37
  260,20020116,  447
  260,20020117,  135
  260,20020118,  436
  260,20020119,  288
  260,20020120,   53
  260,20020121,   85
  260,20020122,  173
  260,20020123,   73
  260,20020124,   99
  260,20020125,  344
  260,20020126,  105
  260,20020127,  279
  260,20020128,  387
  260,20020129,  373
  260,20020130,  301
  260,20020131,  537
  260,20020201,  174
  260,20020202,  693
  260,20020203,  379
  260,20020204,  226
  260,20020205,  130
  260,20020206,  236
  260,20020207,  296
  260,20020208,  362
  260,20020209,  190
  260,20020210,  362
  260,20020211,   58
  260,20020212,  535
  260,20020213,  512
  260,20020214,  973
  260,20020215,  956
  260,20020216, 1002
  260,20020217,  908
  260,20020218,  601
  260,20020219,  623
  260,20020220,  645
  260,20020221,  901
  260,20020222,  306
  260,20020223,  512
  260,20020224,  744
  260,20020225,  168
  260,20020226,  628
  260,20020227,  881
  260,20020228,  576
  260,20020301,  939
  260,20020302, 1170
  260,20020303,  867
  260,20020304,  368
  260,20020305,  645
  260,20020306,  204
  260,20020307, 1182
  260,20020308, 1158
  260,20020309, 1197
  260,20020310, 1328
  260,20020311, 1268
  260,20020312,  722
  260,20020313,  181
  260,20020314, 1097
  260,20020315,  632
  260,20020316, 1382
  260,20020317,  541
  260,20020318,  399
  260,20020319,  901
  260,20020320,  823
  260,20020321,  850
  260,20020322,  741
  260,20020323, 1431
  260,20020324, 1211
  260,20020325, 1441
  260,20020326,  905
  260,20020327, 1771
  260,20020328, 1909
  260,20020329, 1862
  260,20020330,  946
  260,20020331, 1389
  260,20020401, 1585
  260,20020402, 1760
  260,20020403, 1921
  260,20020404, 1829
  260,20020405, 2042
  260,20020406, 2117
  260,20020407, 2073
  260,20020408, 2081
  260,20020409, 1010
  260,20020410, 1672
  260,20020411, 1232
  260,20020412, 1643
  260,20020413, 1055
  260,20020414, 1110
  260,20020415,  321
  260,20020416,  478
  260,20020417,  641
  260,20020418, 1008
  260,20020419, 1573
  260,20020420, 1199
  260,20020421, 2145
  260,20020422, 1703
  260,20020423, 1873
  260,20020424, 1793
  260,20020425, 1384
  260,20020426,  538
  260,20020427, 1373
  260,20020428,  701
  260,20020429, 1146
  260,20020430,  591
  260,20020501, 1799
  260,20020502,  881
  260,20020503, 1955
  260,20020504,  380
  260,20020505,  384
  260,20020506, 1450
  260,20020507, 2510
  260,20020508, 1889
  260,20020509, 1667
  260,20020510,  761
  260,20020511,  421
  260,20020512,  789
  260,20020513, 2328
  260,20020514, 1291
  260,20020515, 2116
  260,20020516, 2607
  260,20020517, 2626
  260,20020518,  935
  260,20020519, 1898
  260,20020520, 2197
  260,20020521, 2171
  260,20020522,  439
  260,20020523, 2071
  260,20020524, 1001
  260,20020525, 1832
  260,20020526, 1225
  260,20020527, 1937
  260,20020528, 2255
  260,20020529, 1600
  260,20020530, 1717
  260,20020531, 2184
  260,20020601, 2937
  260,20020602, 2758
  260,20020603, 1714
  260,20020604, 2369
  260,20020605,  922
  260,20020606, 1321
  260,20020607, 1382
  260,20020608, 2087
  260,20020609, 2072
  260,20020610, 1014
  260,20020611, 1950
  260,20020612,  982
  260,20020613,  832
  260,20020614, 1342
  260,20020615, 1696
  260,20020616, 1277
  260,20020617, 2830
  260,20020618, 2252
  260,20020619, 2365
  260,20020620,  614
  260,20020621, 1776
  260,20020622, 1669
  260,20020623, 2314
  260,20020624, 2601
  260,20020625, 1761
  260,20020626, 2200
  260,20020627, 2150
  260,20020628, 1447
  260,20020629, 2435
  260,20020630, 1045
  260,20020701,  350
  260,20020702, 1401
  260,20020703,  460
  260,20020704, 2265
  260,20020705, 1142
  260,20020706, 1176
  260,20020707,  983
  260,20020708, 2244
  260,20020709, 1361
  260,20020710,  629
  260,20020711, 2166
  260,20020712, 1524
  260,20020713, 1049
  260,20020714, 2059
  260,20020715, 2504
  260,20020716, 2295
  260,20020717, 2364
  260,20020718, 2177
  260,20020719, 1041
  260,20020720, 2158
  260,20020721, 1442
  260,20020722, 1942
  260,20020723,  738
  260,20020724, 1683
  260,20020725, 1732
  260,20020726, 1871
  260,20020727, 2409
  260,20020728, 2576
  260,20020729, 2421
  260,20020730, 2388
  260,20020731, 1626
  260,20020801,  468
  260,20020802, 2449
  260,20020803,  915
  260,20020804, 1894
  260,20020805,  960
  260,20020806, 1249
  260,20020807, 1379
  260,20020808, 1808
  260,20020809, 1573
  260,20020810, 1313
  260,20020811, 1443
  260,20020812, 1622
  260,20020813, 2153
  260,20020814, 1310
  260,20020815, 2142
  260,20020816, 2198
  260,20020817, 2256
  260,20020818, 2121
  260,20020819, 1371
  260,20020820,  644
  260,20020821,  508
  260,20020822,  740
  260,20020823, 1079
  260,20020824,  362
  260,20020825, 1700
  260,20020826, 1848
  260,20020827, 1146
  260,20020828, 1495
  260,20020829, 1580
  260,20020830,  753
  260,20020831,  976
  260,20020901, 1484
  260,20020902, 1883
  260,20020903, 1806
  260,20020904, 1765
  260,20020905, 1674
  260,20020906,  869
  260,20020907,  990
  260,20020908,  979
  260,20020909, 1181
  260,20020910,  479
  260,20020911,  806
  260,20020912, 1880
  260,20020913, 1720
  260,20020914,  706
  260,20020915, 1663
  260,20020916, 1105
  260,20020917,  502
  260,20020918,  605
  260,20020919,  523
  260,20020920,  939
  260,20020921,  613
  260,20020922, 1329
  260,20020923, 1463
  260,20020924, 1578
  260,20020925,  980
  260,20020926,  623
  260,20020927,  840
  260,20020928,  729
  260,20020929, 1082
  260,20020930, 1426
  260,20021001, 1220
  260,20021002,  892
  260,20021003,  373
  260,20021004,  991
  260,20021005,  193
  260,20021006, 1034
  260,20021007,  537
  260,20021008, 1310
  260,20021009, 1274
  260,20021010, 1164
  260,20021011, 1197
  260,20021012,  447
  260,20021013,  307
  260,20021014,  134
  260,20021015,  281
  260,20021016,  423
  260,20021017,  714
  260,20021018,  524
  260,20021019,  628
  260,20021020,  704
  260,20021021,  182
  260,20021022,  312
  260,20021023,  397
  260,20021024,  776
  260,20021025,  191
  260,20021026,  418
  260,20021027,  292
  260,20021028,  809
  260,20021029,  226
  260,20021030,  684
  260,20021031,  772
  260,20021101,  160
  260,20021102,  515
  260,20021103,  428
  260,20021104,  535
  260,20021105,  498
  260,20021106,  499
  260,20021107,  301
  260,20021108,  227
  260,20021109,  497
  260,20021110,  271
  260,20021111,  435
  260,20021112,  258
  260,20021113,  181
  260,20021114,  392
  260,20021115,  376
  260,20021116,  154
  260,20021117,  277
  260,20021118,  126
  260,20021119,  143
  260,20021120,  398
  260,20021121,  118
  260,20021122,  227
  260,20021123,  431
  260,20021124,  495
  260,20021125,   56
  260,20021126,  279
  260,20021127,  410
  260,20021128,   52
  260,20021129,  100
  260,20021130,  151
  260,20021201,  148
  260,20021202,  100
  260,20021203,  170
  260,20021204,   86
  260,20021205,  238
  260,20021206,   46
  260,20021207,   90
  260,20021208,  175
  260,20021209,  409
  260,20021210,  403
  260,20021211,  388
  260,20021212,  160
  260,20021213,  194
  260,20021214,   56
  260,20021215,  149
  260,20021216,   25
  260,20021217,   33
  260,20021218,  292
  260,20021219,  248
  260,20021220,  227
  260,20021221,   94
  260,20021222,   26
  260,20021223,   54
  260,20021224,  120
  260,20021225,  114
  260,20021226,   56
  260,20021227,   62
  260,20021228,  101
  260,20021229,   53
  260,20021230,   45
  260,20021231,  278
  260,20030101,   28
  260,20030102,   37
  260,20030103,   65
  260,20030104,  165
  260,20030105,  158
  260,20030106,  315
  260,20030107,  375
  260,20030108,  232
  260,20030109,  451
  260,20030110,  292
  260,20030111,  491
  260,20030112,  312
  260,20030113,  118
  260,20030114,  155
  260,20030115,  175
  260,20030116,  381
  260,20030117,  244
  260,20030118,   92
  260,20030119,  110
  260,20030120,  127
  260,20030121,  346
  260,20030122,   26
  260,20030123,   52
  260,20030124,  510
  260,20030125,  214
  260,20030126,  158
  260,20030127,  209
  260,20030128,  199
  260,20030129,  337
  260,20030130,  319
  260,20030131,  482
  260,20030201,  201
  260,20030202,  158
  260,20030203,  374
  260,20030204,  291
  260,20030205,  580
  260,20030206,  598
  260,20030207,  126
  260,20030208,  132
  260,20030209,  143
  260,20030210,  785
  260,20030211,  138
  260,20030212,  138
  260,20030213,  939
  260,20030214,  878
  260,20030215,  128
  260,20030216,  934
  260,20030217,  947
  260,20030218,  971
  260,20030219,  969
  260,20030220,  987
  260,20030221,  980
  260,20030222, 1001
  260,20030223,  959
  260,20030224,  971
  260,20030225, 1106
  260,20030226, 1046
  260,20030227,  930
  260,20030228,  932
  260,20030301,  950
  260,20030302,  455
  260,20030303,  847
  260,20030304,  737
  260,20030305,  378
  260,20030306,  279
  260,20030307,  752
  260,20030308,  616
  260,20030309,  832
  260,20030310,  666
  260,20030311,  174
  260,20030312,  502
  260,20030313, 1430
  260,20030314, 1514
  260,20030315, 1494
  260,20030316, 1516
  260,20030317, 1310
  260,20030318, 1512
  260,20030319, 1173
  260,20030320, 1060
  260,20030321, 1533
  260,20030322, 1693
  260,20030323, 1703
  260,20030324, 1448
  260,20030325, 1255
  260,20030326, 1615
  260,20030327, 1395
  260,20030328, 1533
  260,20030329,  624
  260,20030330, 1566
  260,20030331, 1489
  260,20030401,  774
  260,20030402, 1038
  260,20030403, 1185
  260,20030404,  699
  260,20030405, 1352
  260,20030406, 1229
  260,20030407, 1993
  260,20030408, 1506
  260,20030409, 1468
  260,20030410, 1280
  260,20030411, 1447
  260,20030412, 2005
  260,20030413, 2008
  260,20030414, 2014
  260,20030415, 2162
  260,20030416, 2133
  260,20030417, 2183
  260,20030418, 2193
  260,20030419, 1169
  260,20030420, 2058
  260,20030421, 2002
  260,20030422, 2068
  260,20030423, 2107
  260,20030424, 2084
  260,20030425, 1145
  260,20030426,  371
  260,20030427, 1429
  260,20030428, 1217
  260,20030429, 2085
  260,20030430,  654
  260,20030501, 1419
  260,20030502, 1225
  260,20030503, 1850
  260,20030504, 2534
  260,20030505,  437
  260,20030506, 1331
  260,20030507, 2110
  260,20030508, 1993
  260,20030509, 1119
  260,20030510, 2223
  260,20030511, 1960
  260,20030512, 1143
  260,20030513, 2129
  260,20030514, 1490
  260,20030515, 1931
  260,20030516, 2163
  260,20030517, 1179
  260,20030518, 1327
  260,20030519,  740
  260,20030520, 1088
  260,20030521, 1561
  260,20030522,  453
  260,20030523,  704
  260,20030524,  620
  260,20030525,  828
  260,20030526, 2265
  260,20030527, 2052
  260,20030528, 1914
  260,20030529, 2460
  260,20030530, 2644
  260,20030531, 2564
  260,20030601, 2528
  260,20030602, 1731
  260,20030603, 1869
  260,20030604, 2198
  260,20030605, 2044
  260,20030606, 2649
  260,20030607, 2511
  260,20030608, 1217
  260,20030609, 2613
  260,20030610, 1343
  260,20030611, 2397
  260,20030612, 1837
  260,20030613, 2525
  260,20030614, 1980
  260,20030615, 2776
  260,20030616, 2763
  260,20030617, 1912
  260,20030618, 2115
  260,20030619,  622
  260,20030620, 2274
  260,20030621, 2322
  260,20030622, 1912
  260,20030623, 1828
  260,20030624, 1984
  260,20030625, 2380
  260,20030626, 2963
  260,20030627, 2461
  260,20030628, 1571
  260,20030629, 2472
  260,20030630,  703
  260,20030701, 1676
  260,20030702, 1192
  260,20030703, 1498
  260,20030704,  576
  260,20030705, 1009
  260,20030706,  803
  260,20030707, 1791
  260,20030708, 1600
  260,20030709, 2353
  260,20030710, 2756
  260,20030711, 2082
  260,20030712, 2303
  260,20030713, 2862
  260,20030714, 2867
  260,20030715, 2806
  260,20030716, 2462
  260,20030717,  502
  260,20030718, 1514
  260,20030719, 2634
  260,20030720, 1859
  260,20030721, 2428
  260,20030722, 1992
  260,20030723, 1985
  260,20030724, 1192
  260,20030725, 1679
  260,20030726, 1603
  260,20030727, 1552
  260,20030728, 2118
  260,20030729, 1872
  260,20030730, 1239
  260,20030731, 2361
  260,20030801, 2125
  260,20030802, 1723
  260,20030803, 2405
  260,20030804, 2378
  260,20030805, 2216
  260,20030806, 2159
  260,20030807, 2207
  260,20030808, 1956
  260,20030809, 1977
  260,20030810, 1879
  260,20030811, 1817
  260,20030812, 2082
  260,20030813, 1887
  260,20030814, 2253
  260,20030815, 2190
  260,20030816, 1722
  260,20030817,  829
  260,20030818, 1127
  260,20030819, 1733
  260,20030820, 1721
  260,20030821, 1746
  260,20030822,  393
  260,20030823, 1607
  260,20030824,  678
  260,20030825, 1797
  260,20030826, 1746
  260,20030827,  981
  260,20030828,  881
